,lon,lat,depth,mb,ms,date
0,122.036,22.898,10,4.5,,2000-01-03
1,126.369,9.698,17,4.9,,2000-01-03
2,119.366,16.126,15,6,5.7,2000-01-06
3,122.352,16.844,25,4.7,,2000-01-11
4,121.357,23.576,5,4.5,,2000-01-20
5,125.724,13.168,15,5.2,5.5,2000-01-21
6,126.318,4.853,88,4.9,,2000-01-29
7,121.513,13.641,10,5.1,5.1,2000-02-03
8,121.458,13.613,10,4.4,,2000-02-03
9,121.342,13.555,10,4.5,,2000-02-03
10,121.329,22.773,10,4.3,,2000-02-03
11,126.182,1.323,37,4.9,5.2,2000-02-06
12,126.228,0.977,23,5.5,,2000-02-10
13,128.646,2.928,210,5,,2000-02-10
14,127.095,5.699,131,5.5,,2000-02-13
15,120.774,23.303,20,4.9,5.2,2000-02-15
16,120.864,1.27,30,4.8,5.3,2000-02-19
17,124.58,4.202,28,4.3,4.6,2000-02-21
18,121.888,10.654,15,5,4.7,2000-02-27
19,121.828,10.616,15,4.5,,2000-02-29
20,121.407,20.132,35,4.5,,2000-03-02
21,120.888,13.337,77,4.9,,2000-03-03
22,121.51,23.195,36,4.5,,2000-03-09
23,121.639,22.736,18,4.4,,2000-03-16
24,120.751,23.301,26,4.6,,2000-03-16
25,128.152,3.153,91,5.8,,2000-03-21
26,119.729,0.202,35,4.6,,2000-03-24
27,125.5,4.069,139,5.7,,2000-04-03
28,120.863,22.679,46,4.4,,2000-04-08
29,120.12,1.088,15,5,5,2000-04-08
30,126.431,10.253,25,5.1,,2000-04-13
31,126.409,10.287,20,5.2,,2000-04-13
32,125.52,11.451,35,4.6,,2000-04-13
33,128.362,3.937,15,4.9,5.2,2000-04-17
34,128.321,3.965,15,4.8,,2000-04-17
35,128.264,3.986,25,4.9,,2000-04-17
36,128.35,2.83,38,4.7,,2000-04-18
37,128.296,3.989,20,5.1,5.4,2000-04-18
38,128.319,4.092,60,4.8,,2000-04-19
39,126.236,5.316,35,4.5,,2000-04-27
40,126.603,10.401,15,4.5,,2000-04-29
41,122.346,9.712,35,4.5,,2000-04-29
42,120.378,22.525,35,4.3,,2000-05-07
43,124.742,10.986,5,5.1,5.1,2000-05-08
44,124.791,11.019,10,5.1,5.1,2000-05-08
45,126.981,8.71,15,4.3,,2000-05-12
46,126.983,8.745,15,4.6,,2000-05-13
47,123.413,1.278,35,4.6,,2000-05-14
48,123.84,10.922,15,4.7,,2000-05-17
49,121.442,22.753,26,4.1,,2000-05-17
50,120.644,13.75,92,5.1,,2000-05-19
51,126.73,8.606,25,5,,2000-05-22
52,126.816,8.696,25,4.4,,2000-05-22
53,127.067,8.573,15,4.6,,2000-05-22
54,125.772,22.204,14,4.5,,2000-05-30
55,126.884,4.93,55,5.1,,2000-06-07
56,121.18,23.872,26,6.2,6,2000-06-10
57,126.346,10.254,25,4.8,,2000-06-11
58,120.233,17.261,67,5.4,,2000-06-14
59,127.718,4.535,94,6,,2000-06-14
60,118.302,1.116,17,4.7,4.9,2000-06-16
61,121.123,23.968,29,4.7,,2000-06-18
62,120.41,16.915,25,5.2,5.4,2000-06-19
63,120.586,13.969,121,5.4,,2000-06-19
64,121.131,23.912,30,4.7,4.9,2000-06-19
65,126.238,1.22,42,5.7,,2000-06-23
66,128.409,0.388,40,5,,2000-06-27
67,121.406,20.092,35,4.2,,2000-07-01
68,122.227,20.226,20,4.8,5,2000-07-04
69,122.204,20.233,20,4.5,,2000-07-04
70,125.934,22.017,10,4.6,,2000-07-06
71,126.221,5.972,85,5.3,,2000-07-11
72,121.809,23.959,10,4.5,,2000-07-13
73,121.84,23.976,9,4.4,,2000-07-14
74,122.125,20.281,31,6.2,5.8,2000-07-16
75,120.798,17.821,25,5.1,5.3,2000-07-18
76,120.911,23.419,10,5.6,5.4,2000-07-28
77,122.358,15.032,55,5,,2000-08-01
78,124.361,5.718,430,4.6,,2000-08-01
