#Site,Lon,Lat,Height(m),Project_name,Start,End,Comments,Country
BICA,123.8222786,13.23970177,243.1098,Mayon_eos,20121029,99999999,-,9
CATA,124.2358596,13.58654036,65.5448,Mayon_eos,20120424,99999999,-,9
LIDO,123.7569868,13.2189924,114.1671,Mayon_eos,20120427,20180804,-,9
TABA,123.7306892,13.35785162,71.6921,Mayon_eos,20120423,99999999,-,9
VMGB,123.7349039,13.22168596,260.6118,Mayon_eos,20180729,99999999,-,9
VRAC,124.2357751,13.58609325,71.9213,Mayon_eos,20130122,99999999,-,9
MKRJ,106.9880869,-6.842048439,1390.613,Gede_eos,20141011,99999999,-,5
MKRW,107.0467436,-6.85085503,872.813,Gede_eos,20141010,99999999,-,5
PSBL,106.9905702,-6.710113369,1588.574,Gede_eos,20141009,99999999,-,5
PUTR,106.9981119,-6.76567856,1907.109,Gede_eos,20141012,99999999,-,5
CCSG,103.6956926,1.367931297,26.2976,SGClimNet,20230306,99999999,-,10
EOSG,103.6799457,1.346645667,76.5024,SGClimNet,20221104,99999999,-,10
KJSG,103.7410253,1.391077808,44.6351,SGClimNet,20230316,99999999,-,10
LASG,103.8583361,1.231331988,15.1833,SGClimNet,20230525,99999999,-,10
LKSG,103.8487624,1.321566269,139.4404,SGClimNet,20240523,99999999,-,10
RGSG,103.8426345,1.343894494,40.4989,SGClimNet,20230320,99999999,-,10
SASG,103.7016179,1.43789559,17.2472,SGClimNet,20230223,99999999,-,10
SCSG,103.7348079,1.332445074,12.0363,SGClimNet,20220726,99999999,-,10
SING,103.7730553,1.362163177,96.9715,SGClimNet,20130127,99999999,-,10
ABGS,99.38752105,0.220824571,235.8392,SuGAr 1,20040903,99999999,-,5
BABI,96.6712034,2.116799787,-21.3737,SuGAr 1,20111230,99999999,-,5
BALA,98.49586811,-0.533319704,-10.9209,SuGAr 1,20131227,99999999,-,5
BITI,97.81136315,1.078603072,-7.5931,SuGAr 1,20050822,99999999,-,5
BIT2,97.81097643,1.078267404,-7.8707,SuGAr 1,20131231,99999999,-,5
