lon,lat,depth,mw,date
122.036,22.898,10,4.5,3/1/2000
126.369,9.698,17,4.9,3/1/2000
119.366,16.126,15,6,6/1/2000
122.352,16.844,25,4.7,11/1/2000
121.357,23.576,5,4.5,20/1/2000
125.724,13.168,15,5.2,21/1/2000
126.318,4.853,88,4.9,29/1/2000
121.513,13.641,10,5.1,3/2/2000
121.458,13.613,10,4.4,3/2/2000
121.342,13.555,10,4.5,3/2/2000
121.329,22.773,10,4.3,3/2/2000
126.182,1.323,37,4.9,6/2/2000
126.228,0.977,23,5.5,10/2/2000
128.646,2.928,210,5,10/2/2000
127.095,5.699,131,5.5,13/2/2000
120.774,23.303,20,4.9,15/2/2000
120.864,1.27,30,4.8,19/2/2000
124.58,4.202,28,4.3,21/2/2000
121.888,10.654,15,5,27/2/2000
121.828,10.616,15,4.5,29/2/2000
121.407,20.132,35,4.5,2/3/2000
120.888,13.337,77,4.9,3/3/2000
121.51,23.195,36,4.5,9/3/2000
121.639,22.736,18,4.4,16/3/2000
120.751,23.301,26,4.6,16/3/2000
128.152,3.153,91,5.8,21/3/2000
119.729,0.202,35,4.6,24/3/2000
125.5,4.069,139,5.7,3/4/2000
120.863,22.679,46,4.4,8/4/2000
120.12,1.088,15,5,8/4/2000
126.431,10.253,25,5.1,13/4/2000
126.409,10.287,20,5.2,13/4/2000
125.52,11.451,35,4.6,13/4/2000
128.362,3.937,15,4.9,17/4/2000
128.321,3.965,15,4.8,17/4/2000
128.264,3.986,25,4.9,17/4/2000
128.35,2.83,38,4.7,18/4/2000
128.296,3.989,20,5.1,18/4/2000
128.319,4.092,60,4.8,19/4/2000
126.236,5.316,35,4.5,27/4/2000
126.603,10.401,15,4.5,29/4/2000
122.346,9.712,35,4.5,29/4/2000
120.378,22.525,35,4.3,7/5/2000
124.742,10.986,5,5.1,8/5/2000
124.791,11.019,10,5.1,8/5/2000
126.981,8.71,15,4.3,12/5/2000
126.983,8.745,15,4.6,13/5/2000
123.413,1.278,35,4.6,14/5/2000
123.84,10.922,15,4.7,17/5/2000
121.442,22.753,26,4.1,17/5/2000
120.644,13.75,92,5.1,19/5/2000
126.73,8.606,25,5,22/5/2000
126.816,8.696,25,4.4,22/5/2000
127.067,8.573,15,4.6,22/5/2000
125.772,22.204,14,4.5,30/5/2000
126.884,4.93,55,5.1,7/6/2000
121.18,23.872,26,6.2,10/6/2000
126.346,10.254,25,4.8,11/6/2000
120.233,17.261,67,5.4,14/6/2000
127.718,4.535,94,6,14/6/2000
118.302,1.116,17,4.7,16/6/2000
121.123,23.968,29,4.7,18/6/2000
120.41,16.915,25,5.2,19/6/2000
120.586,13.969,121,5.4,19/6/2000
121.131,23.912,30,4.7,19/6/2000
126.238,1.22,42,5.7,23/6/2000
128.409,0.388,40,5,27/6/2000
121.406,20.092,35,4.2,1/7/2000
122.227,20.226,20,4.8,4/7/2000
122.204,20.233,20,4.5,4/7/2000
125.934,22.017,10,4.6,6/7/2000
126.221,5.972,85,5.3,11/7/2000
121.809,23.959,10,4.5,13/7/2000
121.84,23.976,9,4.4,14/7/2000
122.125,20.281,31,6.2,16/7/2000
120.798,17.821,25,5.1,18/7/2000
120.911,23.419,10,5.6,28/7/2000
122.358,15.032,55,5,1/8/2000
124.361,5.718,430,4.6,1/8/2000
121.041,23.819,10,4.5,2/8/2000
121.275,0.443,111,5.1,3/8/2000
128.013,2.308,25,4.8,10/8/2000
124.733,6.412,28,4.7,16/8/2000
125.236,9.453,30,4.5,19/8/2000
126.469,7.435,172,5.3,20/8/2000
120.819,23.071,10,4.7,20/8/2000
121.579,23.653,39,4.7,23/8/2000
126.62,4.38,58,5.6,28/8/2000
123.195,5.032,580,5.4,31/8/2000
119.094,15.623,15,4.9,31/8/2000
126.881,1.556,110,5,3/9/2000
126.271,1.438,32,4.9,6/9/2000
122.101,7.173,20,4.9,8/9/2000
120.112,13.749,33,5,10/9/2000
122.103,0.238,184,5.1,16/9/2000
122.24,8.43,37,4.3,24/9/2000
123.461,0.028,145,4.8,25/9/2000
126.461,6.884,20,4.7,26/9/2000
127.547,1.131,148,5.5,26/9/2000
126.461,9.227,25,4.5,29/9/2000
122.235,12.082,20,5.1,29/9/2000
127.825,1.548,22,4.9,5/10/2000
126.883,6.802,26,5.1,5/10/2000
121.886,15.706,25,4.5,7/10/2000
120.668,13.68,130,4.8,7/10/2000
125.458,9.773,17,5,8/10/2000
124.878,12.442,28,5,12/10/2000
120.897,1.346,25,4.3,14/10/2000
120.834,1.274,30,4.6,14/10/2000
122.439,12.255,18,4.5,16/10/2000
120.706,13.709,154,5.4,21/10/2000
126.704,7.093,94,5.3,22/10/2000
122.331,9.652,35,4.6,22/10/2000
121.586,23.873,20,4.3,24/10/2000
121.669,0.842,30,5,28/10/2000
125.788,5.736,116,5,4/11/2000
124.169,23.324,15,5.5,8/11/2000
127.087,5.797,76,4.9,9/11/2000
119.691,17.335,35,5,15/11/2000
120.609,13.817,117,4.8,29/11/2000
121.774,23.85,20,4.7,29/11/2000
126.172,10.633,18,4.7,30/11/2000
125.31,0.678,50,4.7,1/12/2000
125.916,1.539,92,4.6,3/12/2000
126.471,4.183,90,5.3,5/12/2000
121.181,19.102,52,5,10/12/2000
127.394,0.028,139,5.4,10/12/2000
120.218,23.094,15,4.4,10/12/2000
122.322,10.089,35,4.5,11/12/2000
